task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
899	ed/6a927f	17273	bwaMem (898)	COMPLETED	0	2020-09-18 06:49:38.691	6m 52s	6m 51s	96.0%	1 GB	1.3 GB	1.9 GB	1.9 GB
903	ad/b77759	5563	bwaMem (902)	COMPLETED	0	2020-09-18 06:53:03.365	4m 3s	4m 3s	95.2%	681.3 MB	1.1 GB	742.6 MB	712.7 MB
905	05/1ffea0	16242	bwaMem (904)	COMPLETED	0	2020-09-18 06:54:57.873	4m 12s	4m 12s	92.5%	795.4 MB	1.1 GB	842 MB	809 MB
904	1f/6863c3	12248	bwaMem (903)	COMPLETED	0	2020-09-18 06:54:13.934	6m 29s	6m 29s	96.2%	1 GB	1.4 GB	1.5 GB	1.5 GB
900	70/c14cae	7766	bwaMem (899)	COMPLETED	0	2020-09-18 06:48:08.051	14m 53s	14m 53s	96.5%	1.1 GB	1.4 GB	3.8 GB	3.7 GB
906	4d/033843	24435	bwaMem (905)	COMPLETED	0	2020-09-18 06:56:26.445	7m 7s	7m 7s	96.2%	1 GB	1.3 GB	2 GB	2 GB
908	5f/f3410e	29084	bwaMem (907)	COMPLETED	0	2020-09-18 06:57:06.278	11m 36s	11m 36s	95.5%	1 GB	1.4 GB	2.7 GB	2.6 GB
907	e9/2c63be	24907	bwaMem (906)	COMPLETED	0	2020-09-18 06:56:30.445	13m 15s	13m 14s	97.3%	1 GB	1.3 GB	3.8 GB	3.8 GB
912	f3/6aa653	27275	bwaMem (911)	COMPLETED	0	2020-09-18 07:03:01.426	7m 29s	7m 29s	95.5%	1 GB	1.4 GB	2 GB	2 GB
913	a5/90f8bc	25141	bwaMem (912)	COMPLETED	0	2020-09-18 07:08:42.768	2m 10s	2m 9s	95.8%	515.1 MB	1.1 GB	511.3 MB	520 MB
911	ab/15e89e	16131	bwaMem (910)	COMPLETED	0	2020-09-18 07:00:43.015	11m 34s	11m 33s	96.0%	1 GB	1.3 GB	2.5 GB	2.6 GB
914	80/5e57a2	30777	bwaMem (913)	COMPLETED	0	2020-09-18 07:03:33.878	9m 7s	9m 7s	95.9%	1 GB	1.3 GB	2.1 GB	2.1 GB
910	a8/190fb8	8213	bwaMem (909)	COMPLETED	0	2020-09-18 06:59:09.886	15m 12s	15m 12s	96.6%	1 GB	1.4 GB	3.7 GB	3.5 GB
915	47/5b92e8	2397	bwaMem (914)	COMPLETED	0	2020-09-18 07:10:30.324	13m 46s	13m 46s	96.2%	1.1 GB	1.4 GB	3.4 GB	3.2 GB
918	31/97a5a4	13547	bwaMem (917)	COMPLETED	0	2020-09-18 07:12:40.530	13m 15s	13m 14s	96.2%	1.1 GB	1.4 GB	3.3 GB	3.2 GB
916	c1/99a1e2	11193	bwaMem (915)	COMPLETED	0	2020-09-18 07:12:16.771	13m 42s	13m 42s	95.9%	1 GB	1.3 GB	2.8 GB	2.9 GB
917	a8/a773e5	22050	bwaMem (916)	COMPLETED	0	2020-09-18 07:14:21.988	12m 10s	12m 10s	95.6%	1 GB	1.4 GB	2.8 GB	2.8 GB
919	59/9694d0	4139	bwaMem (918)	COMPLETED	0	2020-09-18 07:24:16.747	3m 11s	3m 10s	95.9%	541.2 MB	1.1 GB	586.4 MB	562.8 MB
886	03/ecd94f	24770	bwaMem (885)	COMPLETED	0	2020-09-18 06:30:12.653	1h 20s	1h 19s	96.2%	1 GB	1.2 GB	12.8 GB	12.1 GB
920	02/2108fa	8615	bwaMem (919)	COMPLETED	0	2020-09-18 07:25:55.388	6m 20s	6m 19s	96.7%	1 GB	1.3 GB	1.8 GB	1.8 GB
924	65/25898d	16200	bwaMem (923)	COMPLETED	0	2020-09-18 07:27:27.298	6m 24s	6m 24s	96.2%	1 GB	1.3 GB	1.7 GB	1.8 GB
923	59/455ff8	11805	bwaMem (922)	COMPLETED	0	2020-09-18 07:26:31.886	8m 22s	8m 22s	98.2%	1 GB	1.3 GB	2.4 GB	2.4 GB
921	ab/8dea75	5090	bwaMem (920)	COMPLETED	0	2020-09-18 07:32:15.352	3m 26s	3m 26s	91.5%	541.7 MB	1.1 GB	585.5 MB	562.7 MB
892	73/c0251b	2239	bwaMem (891)	COMPLETED	0	2020-09-18 06:41:58.322	57m 3s	57m 3s	96.3%	1 GB	1.2 GB	12 GB	11.4 GB
853	cc/26101a	30446	bwaMem (852)	COMPLETED	0	2020-09-18 07:09:45.609	30m 48s	30m 47s	96.8%	1.1 GB	1.4 GB	7.3 GB	6.9 GB
808	65/5de0e9	4709	bwaMem (807)	COMPLETED	0	2020-09-18 07:10:52.516	31m 15s	31m 15s	96.8%	1.1 GB	1.4 GB	7.4 GB	7.1 GB
929	93/b31f5f	22419	bwaMem (928)	COMPLETED	0	2020-09-18 07:35:41.233	8m 14s	8m 14s	94.8%	1 GB	1.4 GB	1.8 GB	1.8 GB
926	76/693a58	13092	bwaMem (925)	COMPLETED	0	2020-09-18 07:33:51.370	11m 25s	11m 24s	97.5%	1 GB	1.4 GB	2.9 GB	2.7 GB
721	43/aa2ee8	4684	bwaMem (720)	COMPLETED	0	2020-09-18 07:39:01.327	6m 48s	6m 47s	95.5%	1 GB	1.4 GB	1.5 GB	1.4 GB
928	91/993e6c	12344	bwaMem (927)	COMPLETED	0	2020-09-18 07:40:33.263	7m 38s	7m 38s	96.3%	1 GB	1.3 GB	2 GB	2.1 GB
930	01/f40229	9198	bwaMem (929)	COMPLETED	0	2020-09-18 07:45:49.013	2m 38s	2m 37s	95.0%	501.5 MB	1.1 GB	478.5 MB	465 MB
925	31/651b89	29013	bwaMem (924)	COMPLETED	0	2020-09-18 07:30:32.176	18m 17s	18m 16s	96.2%	1 GB	1.4 GB	4.1 GB	4.2 GB
922	f6/4ddde8	8973	bwaMem (921)	COMPLETED	0	2020-09-18 07:25:58.769	24m 31s	24m 31s	96.6%	1 GB	1.4 GB	6 GB	5.7 GB
931	e8/3df0e5	20906	bwaMem (930)	COMPLETED	0	2020-09-18 07:42:07.704	8m 29s	8m 28s	97.3%	1 GB	1.3 GB	2.4 GB	2.4 GB
936	91/f5cbb7	24665	bwaMem (935)	COMPLETED	0	2020-09-18 07:48:48.753	3m 18s	3m 18s	94.2%	585.1 MB	1.1 GB	627.2 MB	606.3 MB
932	72/bf00cc	20690	bwaMem (931)	COMPLETED	0	2020-09-18 07:48:11.389	7m 8s	7m 7s	95.6%	1 GB	1.3 GB	1.9 GB	1.9 GB
942	e3/ae9451	12399	bwaMem (941)	COMPLETED	0	2020-09-18 07:52:06.586	4m 2s	4m 2s	92.8%	849 MB	1.1 GB	852.6 MB	884.8 MB
