task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
250	52/109376	12012	mem (249)	COMPLETED	0	2020-09-21 21:51:06.943	1m 6s	1m 3s	91.6%	528 MB	727.3 MB	52.8 MB	205.4 MB
249	fc/610660	5935	mem (248)	COMPLETED	0	2020-09-21 21:49:46.233	2m 56s	2m 52s	96.0%	860.9 MB	1 GB	106.8 MB	478.8 MB
248	b4/3bd57e	30552	mem (247)	COMPLETED	0	2020-09-21 21:42:15.263	10m 36s	10m 33s	97.1%	1.1 GB	1.4 GB	517.2 MB	2 GB
242	e7/5ae951	4366	mem (241)	COMPLETED	0	2020-09-21 21:43:17.176	9m 36s	9m 33s	98.6%	1.2 GB	1.4 GB	493.9 MB	1.9 GB
243	7d/7ec78f	24951	mem (242)	COMPLETED	0	2020-09-21 21:41:13.827	16m 6s	16m 2s	99.2%	1.2 GB	1.4 GB	817.6 MB	3.1 GB
255	19/2a467f	19509	mem (254)	COMPLETED	0	2020-09-21 21:52:41.908	4m 48s	4m 45s	97.4%	1.2 GB	1.5 GB	194.7 MB	1000.6 MB
257	42/d4552d	20907	mem (256)	COMPLETED	0	2020-09-21 21:52:53.417	4m 45s	4m 42s	96.3%	1.2 GB	1.4 GB	224.1 MB	1.1 GB
253	86/bd226d	16438	mem (252)	COMPLETED	0	2020-09-21 21:52:11.512	6m 25s	6m 21s	96.4%	1.2 GB	1.5 GB	297.8 MB	1.5 GB
252	8b/553202	16797	mem (251)	COMPLETED	0	2020-09-21 21:52:13.144	9m 26s	9m 22s	97.2%	1.2 GB	1.5 GB	514.1 MB	1.8 GB
254	ca/5af9b8	20586	mem (253)	COMPLETED	0	2020-09-21 21:52:51.676	10m 9s	10m 6s	97.8%	1.2 GB	1.5 GB	555 MB	2 GB
261	8b/8c87a8	9082	mem (260)	COMPLETED	0	2020-09-21 21:57:38.084	5m 30s	5m 27s	97.7%	1.2 GB	1.4 GB	256.7 MB	1.3 GB
258	0f/7c5960	6722	mem (257)	COMPLETED	0	2020-09-21 21:57:19.609	6m 56s	6m 53s	96.3%	1.2 GB	1.3 GB	261.8 MB	1.3 GB
259	ba/d2575b	14062	mem (258)	COMPLETED	0	2020-09-21 21:58:36.116	6m 13s	6m 10s	96.5%	1.2 GB	1.5 GB	327.6 MB	1.5 GB
241	7e/925c0e	20348	mem (240)	COMPLETED	0	2020-09-21 21:40:25.407	25m 5s	25m 1s	99.4%	1.2 GB	1.5 GB	1.2 GB	4.9 GB
