task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
754	f2/d55647	9687	samtoolsIndex (753)	COMPLETED	0	2020-09-18 16:50:05.654	22.2s	22s	66.0%	6.1 MB	29.6 MB	555.7 MB	14.6 KB
748	fa/edefb6	8676	samtoolsIndex (747)	COMPLETED	0	2020-09-18 16:50:02.685	25.6s	25.5s	66.6%	6 MB	29.6 MB	656.4 MB	15 KB
755	ed/c9fe5b	11805	samtoolsIndex (754)	COMPLETED	0	2020-09-18 16:50:11.263	23.7s	23.6s	65.7%	6 MB	29.6 MB	606.2 MB	14.7 KB
756	73/42ca7e	11942	samtoolsIndex (755)	COMPLETED	0	2020-09-18 16:50:11.675	23.7s	23.5s	61.7%	6.4 MB	29.6 MB	613.6 MB	14.6 KB
762	bb/8877e3	13970	samtoolsIndex (761)	COMPLETED	0	2020-09-18 16:50:18.027	19.7s	19.6s	65.3%	6.3 MB	29.6 MB	491.4 MB	14.7 KB
761	32/280671	16036	samtoolsIndex (760)	COMPLETED	0	2020-09-18 16:50:25.492	13.4s	13.2s	66.9%	6.1 MB	29.5 MB	324.3 MB	14 KB
770	87/964d01	19544	samtoolsIndex (769)	COMPLETED	0	2020-09-18 16:50:37.751	2.9s	2.8s	66.7%	6.1 MB	29.5 MB	67.2 MB	13.4 KB
760	ed/7e9ab3	15735	samtoolsIndex (759)	COMPLETED	0	2020-09-18 16:50:24.187	16.5s	16.3s	64.0%	6.2 MB	29.6 MB	426.8 MB	14.3 KB
767	e1/48d849	16569	samtoolsIndex (766)	COMPLETED	0	2020-09-18 16:50:27.846	13.5s	13.2s	61.2%	6.4 MB	29.6 MB	342.4 MB	13.9 KB
768	37/482fee	16761	samtoolsIndex (767)	COMPLETED	0	2020-09-18 16:50:28.332	13.6s	13.3s	62.1%	6.4 MB	29.6 MB	349.2 MB	13.9 KB
766	ca/467abe	20569	samtoolsIndex (765)	COMPLETED	0	2020-09-18 16:50:40.672	7s	6.7s	65.9%	6.2 MB	29.5 MB	161.6 MB	13.8 KB
775	d4/42dbb1	21153	samtoolsIndex (774)	COMPLETED	0	2020-09-18 16:50:41.897	7s	6.8s	62.0%	6.1 MB	29.5 MB	171.9 MB	13.5 KB
772	7e/cde90a	20897	samtoolsIndex (771)	COMPLETED	0	2020-09-18 16:50:41.323	9.2s	9s	71.0%	6 MB	29.5 MB	221.7 MB	13.6 KB
758	2b/2beadf	15308	samtoolsIndex (757)	COMPLETED	0	2020-09-18 16:50:22.792	29.5s	29.3s	71.7%	6.6 MB	29.9 MB	697.9 MB	18.9 KB
763	71/0553ae	20582	samtoolsIndex (762)	COMPLETED	0	2020-09-18 16:50:40.711	11.6s	11.3s	70.2%	6.1 MB	29.5 MB	279.9 MB	13.9 KB
764	29/49997c	19963	samtoolsIndex (763)	COMPLETED	0	2020-09-18 16:50:38.912	13.5s	13.4s	63.0%	6.3 MB	29.6 MB	351.6 MB	13.9 KB
776	e8/8c3aa0	24481	samtoolsIndex (775)	COMPLETED	0	2020-09-18 16:50:52.429	2s	1.8s	62.0%	6.1 MB	29.5 MB	39.1 MB	13.2 KB
765	2a/26a02c	18650	samtoolsIndex (764)	COMPLETED	0	2020-09-18 16:50:34.975	19.6s	19.4s	68.3%	6.3 MB	29.6 MB	507.6 MB	14.7 KB
769	ac/6cfe3e	18788	samtoolsIndex (768)	COMPLETED	0	2020-09-18 16:50:35.416	19.3s	19.2s	68.5%	6.3 MB	29.6 MB	505.5 MB	14.4 KB
777	4c/93b54f	24362	samtoolsIndex (776)	COMPLETED	0	2020-09-18 16:50:52.249	2.9s	2.7s	70.3%	6.3 MB	29.5 MB	66.5 MB	13.3 KB
774	59/9fb2bd	23904	samtoolsIndex (773)	COMPLETED	0	2020-09-18 16:50:50.532	13.1s	12.8s	66.1%	6.3 MB	29.6 MB	329.8 MB	14 KB
771	02/d4732d	23026	samtoolsIndex (770)	COMPLETED	0	2020-09-18 16:50:47.718	16.7s	16.5s	62.0%	6.3 MB	29.6 MB	427.1 MB	14.1 KB
778	c2/5ef2d4	25274	samtoolsIndex (777)	COMPLETED	0	2020-09-18 16:50:54.447	11.5s	11.4s	62.1%	6.2 MB	29.6 MB	266.8 MB	14.1 KB
784	a0/56789d	25405	samtoolsIndex (783)	COMPLETED	0	2020-09-18 16:50:54.707	12.2s	11.8s	63.6%	6.2 MB	29.5 MB	289.1 MB	13.8 KB
